,ds,y
168,2019-05-19 19:00:00,87.0
169,2019-05-19 20:00:00,85.0
170,2019-05-19 21:00:00,81.0
171,2019-05-19 22:00:00,78.0
172,2019-05-19 23:00:00,76.0
173,2019-05-20 00:00:00,75.0
174,2019-05-20 01:00:00,73.0
175,2019-05-20 02:00:00,72.0
176,2019-05-20 03:00:00,71.0
177,2019-05-20 04:00:00,71.0
178,2019-05-20 05:00:00,71.0
179,2019-05-20 06:00:00,72.0
180,2019-05-20 07:00:00,72.0
181,2019-05-20 08:00:00,72.0
182,2019-05-20 09:00:00,76.0
183,2019-05-20 10:00:00,78.0
184,2019-05-20 11:00:00,80.0
185,2019-05-20 12:00:00,80.0
186,2019-05-20 13:00:00,83.0
187,2019-05-20 14:00:00,85.0
188,2019-05-20 15:00:00,87.0
189,2019-05-20 16:00:00,88.0
190,2019-05-20 17:00:00,88.0
191,2019-05-20 18:00:00,88.0
192,2019-05-20 19:00:00,87.0
193,2019-05-20 20:00:00,85.0
194,2019-05-20 21:00:00,81.0
195,2019-05-20 22:00:00,78.0
196,2019-05-20 23:00:00,75.0
197,2019-05-21 00:00:00,74.0
198,2019-05-21 01:00:00,72.0
199,2019-05-21 02:00:00,70.0
200,2019-05-21 03:00:00,69.0
201,2019-05-21 04:00:00,68.0
202,2019-05-21 05:00:00,67.0
203,2019-05-21 06:00:00,66.0
204,2019-05-21 07:00:00,65.0
205,2019-05-21 08:00:00,67.0
206,2019-05-21 09:00:00,72.0
207,2019-05-21 10:00:00,78.0
208,2019-05-21 11:00:00,81.0
209,2019-05-21 12:00:00,83.0
210,2019-05-21 13:00:00,85.0
211,2019-05-21 14:00:00,87.0
212,2019-05-21 15:00:00,88.0
213,2019-05-21 16:00:00,88.0
214,2019-05-21 17:00:00,88.0
215,2019-05-21 18:00:00,88.0
216,2019-05-21 19:00:00,88.0
217,2019-05-21 20:00:00,85.0
218,2019-05-21 21:00:00,82.0
219,2019-05-21 22:00:00,80.0
220,2019-05-21 23:00:00,78.0
221,2019-05-22 00:00:00,76.0
222,2019-05-22 01:00:00,75.0
223,2019-05-22 02:00:00,74.0
