,ds,y
0,2019-05-12 19:00:00,75.0
1,2019-05-12 20:00:00,75.0
2,2019-05-12 21:00:00,74.0
3,2019-05-12 22:00:00,75.0
4,2019-05-12 23:00:00,75.0
5,2019-05-13 00:00:00,76.0
6,2019-05-13 01:00:00,76.0
7,2019-05-13 02:00:00,76.0
8,2019-05-13 03:00:00,76.0
9,2019-05-13 04:00:00,77.0
10,2019-05-13 05:00:00,76.0
11,2019-05-13 06:00:00,76.0
12,2019-05-13 07:00:00,76.0
13,2019-05-13 08:00:00,76.0
14,2019-05-13 09:00:00,74.0
15,2019-05-13 10:00:00,74.0
16,2019-05-13 11:00:00,74.0
17,2019-05-13 12:00:00,74.0
18,2019-05-13 13:00:00,74.0
19,2019-05-13 14:00:00,74.0
20,2019-05-13 15:00:00,74.0
21,2019-05-13 16:00:00,74.0
22,2019-05-13 17:00:00,74.0
23,2019-05-13 18:00:00,75.0
24,2019-05-13 19:00:00,75.0
25,2019-05-13 20:00:00,76.0
26,2019-05-13 21:00:00,76.0
27,2019-05-13 22:00:00,76.0
28,2019-05-13 23:00:00,76.0
29,2019-05-14 00:00:00,75.0
30,2019-05-14 01:00:00,75.0
31,2019-05-14 02:00:00,74.0
32,2019-05-14 03:00:00,74.0
33,2019-05-14 04:00:00,74.0
34,2019-05-14 05:00:00,74.0
35,2019-05-14 06:00:00,74.0
36,2019-05-14 07:00:00,73.0
37,2019-05-14 08:00:00,73.0
38,2019-05-14 09:00:00,73.0
39,2019-05-14 10:00:00,73.0
40,2019-05-14 11:00:00,73.0
41,2019-05-14 12:00:00,73.0
42,2019-05-14 13:00:00,73.0
43,2019-05-14 14:00:00,73.0
44,2019-05-14 15:00:00,74.0
45,2019-05-14 16:00:00,74.0
46,2019-05-14 17:00:00,75.0
47,2019-05-14 18:00:00,75.0
48,2019-05-14 19:00:00,76.0
49,2019-05-14 20:00:00,76.0
50,2019-05-14 21:00:00,75.0
51,2019-05-14 22:00:00,75.0
52,2019-05-14 23:00:00,76.0
53,2019-05-15 00:00:00,76.0
54,2019-05-15 01:00:00,76.0
55,2019-05-15 02:00:00,75.0
56,2019-05-15 03:00:00,75.0
57,2019-05-15 04:00:00,74.0
58,2019-05-15 05:00:00,74.0
59,2019-05-15 06:00:00,74.0
60,2019-05-15 07:00:00,73.0
61,2019-05-15 08:00:00,73.0
62,2019-05-15 09:00:00,73.0
63,2019-05-15 10:00:00,73.0
64,2019-05-15 11:00:00,73.0
65,2019-05-15 12:00:00,73.0
66,2019-05-15 13:00:00,73.0
67,2019-05-15 14:00:00,74.0
68,2019-05-15 15:00:00,74.0
69,2019-05-15 16:00:00,74.0
70,2019-05-15 17:00:00,75.0
71,2019-05-15 18:00:00,75.0
72,2019-05-15 19:00:00,76.0
73,2019-05-15 20:00:00,76.0
74,2019-05-15 21:00:00,76.0
75,2019-05-15 22:00:00,77.0
76,2019-05-15 23:00:00,76.0
77,2019-05-16 00:00:00,77.0
78,2019-05-16 01:00:00,77.0
79,2019-05-16 02:00:00,77.0
80,2019-05-16 03:00:00,76.0
81,2019-05-16 04:00:00,77.0
82,2019-05-16 05:00:00,76.0
83,2019-05-16 06:00:00,76.0
84,2019-05-16 07:00:00,76.0
