,TIME_STAMP,TEMPERATURE_Out,GAS_Out,PRESSURE_Out,TEMPERATURE_In
98,2019-05-16 21:00:00,78.6,723933.0,981.4,76.0
99,2019-05-16 22:00:00,76.0,723933.0,982.3,76.0
100,2019-05-16 23:00:00,73.3,723933.0,983.1,76.0
101,2019-05-17 00:00:00,73.0,1086317.5,983.0,75.7
102,2019-05-17 01:00:00,72.6,1370208.2,982.8,75.8
103,2019-05-17 02:00:00,72.5,1244655.8,982.6,75.8
104,2019-05-17 03:00:00,70.8,1097578.2,982.5,76.0
105,2019-05-17 04:00:00,69.8,961441.1,982.2,76.0
106,2019-05-17 05:00:00,69.2,857299.0,982.7,76.0
107,2019-05-17 06:00:00,69.0,692299.2,983.6,76.0
108,2019-05-17 07:00:00,68.0,179225.0,983.8,75.9
109,2019-05-17 08:00:00,69.5,179225.0,984.3,75.9
110,2019-05-17 09:00:00,74.0,307059.7,984.7,75.9
111,2019-05-17 10:00:00,76.3,819930.2,984.8,75.7
112,2019-05-17 11:00:00,78.5,958447.8,985.0,75.9
113,2019-05-17 12:00:00,81.2,1190062.6,984.6,75.8
114,2019-05-17 13:00:00,83.6,1119419.8,983.8,75.7
115,2019-05-17 14:00:00,85.8,723933.0,983.3,75.8
116,2019-05-17 15:00:00,87.0,723933.0,982.8,75.8
117,2019-05-17 16:00:00,88.5,723933.0,982.2,76.0
118,2019-05-17 17:00:00,89.0,723933.0,981.7,76.4
119,2019-05-17 18:00:00,89.0,723933.0,981.6,76.6
120,2019-05-17 19:00:00,85.8,723933.0,981.9,76.7
121,2019-05-17 20:00:00,82.8,723933.0,982.2,76.6
122,2019-05-17 21:00:00,80.9,723933.0,982.6,76.6
123,2019-05-17 22:00:00,77.8,723933.0,983.0,76.8
124,2019-05-17 23:00:00,75.3,723933.0,983.5,76.1
125,2019-05-18 00:00:00,74.1,1371679.4,983.9,76.5
126,2019-05-18 01:00:00,72.9,1140388.7,984.1,77.7
127,2019-05-18 02:00:00,71.8,960221.6,983.8,77.3
128,2019-05-18 03:00:00,70.7,846588.4,983.5,77.2
129,2019-05-18 04:00:00,69.7,744142.1,983.5,77.2
130,2019-05-18 05:00:00,69.0,188686.8,983.9,77.0
131,2019-05-18 06:00:00,68.2,179225.0,984.2,77.0
132,2019-05-18 07:00:00,68.0,269304.6,984.7,77.0
133,2019-05-18 08:00:00,69.7,353343.4,985.3,77.0
134,2019-05-18 09:00:00,74.4,342289.1,985.6,77.0
135,2019-05-18 10:00:00,78.0,208303.1,985.6,77.2
136,2019-05-18 11:00:00,80.6,797648.6,985.6,77.4
137,2019-05-18 12:00:00,83.2,1250580.4,985.3,77.4
138,2019-05-18 13:00:00,84.7,799515.0,984.7,77.2
139,2019-05-18 14:00:00,86.6,723933.0,984.1,77.0
